role,decision,std_svg_nodes,std_svg_occurrences,style_registry,annotations,sources,note
Decorative fabric,normalize_or_add,0,0,0,0,unknown_roles_assigned,"??????????? ? ??????, ?? ?? ????????? ? ROLE_STYLES."
Mesh,normalize_or_add,0,0,0,0,unknown_roles_assigned,"??????????? ? ??????, ?? ?? ????????? ? ROLE_STYLES."
Reflectig piping,normalize_or_add,0,0,0,0,unknown_roles_assigned,"??????????? ? ??????, ?? ?? ????????? ? ROLE_STYLES."
_skip,review_rare,0,0,2,0,style_registry,"?????? ????: ?????????, ????? ?? ??? ?????????."
arrow,keep_active,1659,9931,1,0,"std_svg_nodes,std_svg_occurrences,style_registry",??????? ????????????.
boundary_fragment,keep_active,1281,5110,2,0,"std_svg_nodes,std_svg_occurrences,style_registry",??????? ????????????.
boundary_interlining,keep_active,2000,7324,4,1,"node_annotations_group,std_svg_nodes,std_svg_occurrences,style_registry",??????? ????????????.
boundary_lining,review_rare,3,6,0,0,"std_svg_nodes,std_svg_occurrences","?????? ????: ?????????, ????? ?? ??? ?????????."
boundary_zone,review_rare,5,10,1,0,"std_svg_nodes,std_svg_occurrences,style_registry","?????? ????: ?????????, ????? ?? ??? ?????????."
break_line,keep_active,3272,9775,8,2,"node_annotations_element,std_svg_nodes,std_svg_occurrences,style_registry",??????? ????????????.
callout_line,keep_active,3379,19568,13,0,"std_svg_nodes,std_svg_occurrences,style_registry,unknown_roles_assigned",??????? ????????????.
callout_zoom,keep_active,204,713,6,0,"std_svg_nodes,std_svg_occurrences,style_registry",??????? ????????????.
construction_aux,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
construction_line,keep_active,1,61,1,19,"node_annotations_element,node_annotations_group,std_svg_nodes,std_svg_occurrences,style_registry",??????? ????????????.
contour_cut,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
contour_fold,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
contour_glue,normalize_or_add,0,0,0,0,unknown_roles_assigned,"??????????? ? ??????, ?? ?? ????????? ? ROLE_STYLES."
contour_hidden,keep_active,44,275,0,0,"std_svg_nodes,std_svg_occurrences",??????? ????????????.
contour_mesh,normalize_or_add,0,0,0,0,unknown_roles_assigned,"??????????? ? ??????, ?? ?? ????????? ? ROLE_STYLES."
contour_outer,keep_active,4108,61228,28,4,"node_annotations_element,node_annotations_group,std_svg_nodes,std_svg_occurrences,style_registry",??????? ????????????.
contour_pu_tape,normalize_or_add,0,0,0,0,unknown_roles_assigned,"??????????? ? ??????, ?? ?? ????????? ? ROLE_STYLES."
dim_line,review_rare,0,0,1,0,style_registry,"?????? ????: ?????????, ????? ?? ??? ?????????."
fill_binding,review_rare,0,0,2,0,"style_registry,unknown_roles_assigned","?????? ????: ?????????, ????? ?? ??? ?????????."
fill_contrast,keep_active,0,0,7,0,"style_registry,unknown_roles_assigned",??????? ????????????.
fill_cord,keep_active,214,601,1,0,"std_svg_nodes,std_svg_occurrences,style_registry",??????? ????????????.
fill_dark_fabric,keep_active,0,0,19,0,"style_registry,unknown_roles_assigned",??????? ????????????.
fill_elastic,keep_active,391,883,0,0,"std_svg_nodes,std_svg_occurrences",??????? ????????????.
fill_fabric,keep_active,0,0,15,0,"style_registry,unknown_roles_assigned",??????? ????????????.
fill_fabric_gray,keep_active,0,0,19,0,"style_registry,unknown_roles_assigned",??????? ????????????.
fill_fur,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
fill_glue,keep_active,0,0,39,0,"style_registry,unknown_roles_assigned",??????? ????????????.
fill_gradient,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
fill_interlining,keep_active,1109,3514,15,0,"std_svg_nodes,std_svg_occurrences,style_registry,unknown_roles_assigned",??????? ????????????.
fill_material_mask,keep_active,116,274,0,0,"std_svg_nodes,std_svg_occurrences",??????? ????????????.
fill_mesh,normalize_or_add,0,0,0,0,unknown_roles_assigned,"??????????? ? ??????, ?? ?? ????????? ? ROLE_STYLES."
fill_pink_dark,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
fill_pink_light,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
fill_piping,keep_active,1,2,19,0,"std_svg_nodes,std_svg_occurrences,style_registry,unknown_roles_assigned",??????? ????????????.
fill_pu_tape,keep_active,0,0,28,0,"style_registry,unknown_roles_assigned",??????? ????????????.
fill_shadow,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
fill_shape,keep_active,751,2368,0,0,"std_svg_nodes,std_svg_occurrences",??????? ????????????.
fill_tape,keep_active,1,2,8,0,"std_svg_nodes,std_svg_occurrences,style_registry,unknown_roles_assigned",??????? ????????????.
fill_velcro,keep_active,111,396,0,0,"std_svg_nodes,std_svg_occurrences",??????? ????????????.
fill_white_detail,keep_active,204,795,0,0,"std_svg_nodes,std_svg_occurrences",??????? ????????????.
guide_line,retire_candidate,0,0,0,0,,"?????????, ?? ?????? ?? ??????? ? registry/annotations/std.svg."
hw_buckle,review_rare,1,7,0,0,"std_svg_nodes,std_svg_occurrences","?????? ????: ?????????, ????? ?? ??? ?????????."
hw_buckle_fill,review_rare,1,4,0,0,"std_svg_nodes,std_svg_occurrences","?????? ????: ?????????, ????? ?? ??? ?????????."
hw_button,review_rare,2,10,1,0,"std_svg_nodes,std_svg_occurrences,style_registry","?????? ????: ?????????, ????? ?? ??? ?????????."
hw_buttonhole,review_rare,2,14,2,0,"std_svg_nodes,std_svg_occurrences,style_registry","?????? ????: ?????????, ????? ?? ??? ?????????."
