role,declared,active,total_occurrences,std_svg_nodes,style_registry,node_annotations_group,node_annotations_element,std_svg_occurrences,sources
Decorative fabric,False,True,2,0,0,0,0,0,unknown_roles_assigned
Mesh,False,True,1,0,0,0,0,0,unknown_roles_assigned
Reflectig piping,False,True,1,0,0,0,0,0,unknown_roles_assigned
_skip,True,True,2,0,2,0,0,0,style_registry
arrow,True,True,9932,1659,1,0,0,9931,"std_svg_nodes,std_svg_occurrences,style_registry"
boundary_fragment,True,True,5112,1281,2,0,0,5110,"std_svg_nodes,std_svg_occurrences,style_registry"
boundary_interlining,True,True,7329,2000,4,1,0,7324,"node_annotations_group,std_svg_nodes,std_svg_occurrences,style_registry"
boundary_lining,True,True,6,3,0,0,0,6,"std_svg_nodes,std_svg_occurrences"
boundary_zone,True,True,11,5,1,0,0,10,"std_svg_nodes,std_svg_occurrences,style_registry"
break_line,True,True,9785,3272,8,0,2,9775,"node_annotations_element,std_svg_nodes,std_svg_occurrences,style_registry"
callout_line,True,True,19582,3379,13,0,0,19568,"std_svg_nodes,std_svg_occurrences,style_registry,unknown_roles_assigned"
callout_zoom,True,True,719,204,6,0,0,713,"std_svg_nodes,std_svg_occurrences,style_registry"
construction_aux,True,False,0,0,0,0,0,0,
construction_line,True,True,81,1,1,4,15,61,"node_annotations_element,node_annotations_group,std_svg_nodes,std_svg_occurrences,style_registry"
contour_cut,True,False,0,0,0,0,0,0,
contour_fold,True,False,0,0,0,0,0,0,
contour_glue,False,True,2,0,0,0,0,0,unknown_roles_assigned
contour_hidden,True,True,275,44,0,0,0,275,"std_svg_nodes,std_svg_occurrences"
contour_mesh,False,True,2,0,0,0,0,0,unknown_roles_assigned
contour_outer,True,True,61260,4108,28,3,1,61228,"node_annotations_element,node_annotations_group,std_svg_nodes,std_svg_occurrences,style_registry"
contour_pu_tape,False,True,1,0,0,0,0,0,unknown_roles_assigned
dim_line,True,True,1,0,1,0,0,0,style_registry
fill_binding,True,True,4,0,2,0,0,0,"style_registry,unknown_roles_assigned"
fill_contrast,True,True,14,0,7,0,0,0,"style_registry,unknown_roles_assigned"
fill_cord,True,True,602,214,1,0,0,601,"std_svg_nodes,std_svg_occurrences,style_registry"
fill_dark_fabric,True,True,38,0,19,0,0,0,"style_registry,unknown_roles_assigned"
fill_elastic,True,True,883,391,0,0,0,883,"std_svg_nodes,std_svg_occurrences"
fill_fabric,True,True,30,0,15,0,0,0,"style_registry,unknown_roles_assigned"
fill_fabric_gray,True,True,38,0,19,0,0,0,"style_registry,unknown_roles_assigned"
fill_fur,True,False,0,0,0,0,0,0,
fill_glue,True,True,78,0,39,0,0,0,"style_registry,unknown_roles_assigned"
fill_gradient,True,False,0,0,0,0,0,0,
fill_interlining,True,True,3544,1109,15,0,0,3514,"std_svg_nodes,std_svg_occurrences,style_registry,unknown_roles_assigned"
fill_material_mask,True,True,274,116,0,0,0,274,"std_svg_nodes,std_svg_occurrences"
fill_mesh,False,True,1,0,0,0,0,0,unknown_roles_assigned
fill_pink_dark,True,False,0,0,0,0,0,0,
fill_pink_light,True,False,0,0,0,0,0,0,
fill_piping,True,True,39,1,19,0,0,2,"std_svg_nodes,std_svg_occurrences,style_registry,unknown_roles_assigned"
fill_pu_tape,True,True,56,0,28,0,0,0,"style_registry,unknown_roles_assigned"
fill_shadow,True,False,0,0,0,0,0,0,
fill_shape,True,True,2368,751,0,0,0,2368,"std_svg_nodes,std_svg_occurrences"
fill_tape,True,True,18,1,8,0,0,2,"std_svg_nodes,std_svg_occurrences,style_registry,unknown_roles_assigned"
fill_velcro,True,True,396,111,0,0,0,396,"std_svg_nodes,std_svg_occurrences"
fill_white_detail,True,True,795,204,0,0,0,795,"std_svg_nodes,std_svg_occurrences"
guide_line,True,False,0,0,0,0,0,0,
hw_buckle,True,True,7,1,0,0,0,7,"std_svg_nodes,std_svg_occurrences"
hw_buckle_fill,True,True,4,1,0,0,0,4,"std_svg_nodes,std_svg_occurrences"
hw_button,True,True,11,2,1,0,0,10,"std_svg_nodes,std_svg_occurrences,style_registry"
hw_buttonhole,True,True,16,2,2,0,0,14,"std_svg_nodes,std_svg_occurrences,style_registry"
hw_other,True,True,19,1,0,0,0,19,"std_svg_nodes,std_svg_occurrences"
hw_ring,True,True,190,45,0,0,0,190,"std_svg_nodes,std_svg_occurrences"
hw_snap,True,False,0,0,0,0,0,0,
hw_zipper,True,True,151,74,1,0,0,150,"std_svg_nodes,std_svg_occurrences,style_registry"
hw_zipper_tape,True,True,5401,1560,7,0,0,5394,"std_svg_nodes,std_svg_occurrences,style_registry"
hw_zipper_tape_edge,True,True,2,1,0,0,0,2,"std_svg_nodes,std_svg_occurrences"
label,True,True,4123,4123,0,0,0,4123,"std_svg_nodes,std_svg_occurrences"
line_decorative,True,True,2,0,2,0,0,0,style_registry
line_elastic,True,True,5,0,4,0,0,0,"style_registry,unknown_roles_assigned"
line_fur,True,True,4,0,4,0,0,0,style_registry
line_gathered_edge,True,True,1121,100,0,0,0,1121,"std_svg_nodes,std_svg_occurrences"
line_mesh,True,True,3,0,2,0,0,0,"style_registry,unknown_roles_assigned"
line_photo_trace,True,False,0,0,0,0,0,0,
line_reference,True,False,0,0,0,0,0,0,
line_velcro,True,True,6,3,0,0,0,6,"std_svg_nodes,std_svg_occurrences"
seam_allowance,True,False,0,0,0,0,0,0,
seam_line,True,True,285,76,0,0,0,285,"std_svg_nodes,std_svg_occurrences"
stitch_Bt,True,True,375,62,0,0,0,375,"std_svg_nodes,std_svg_occurrences"
stitch_C,True,False,0,0,0,0,0,0,
stitch_F,True,False,0,0,0,0,0,0,
stitch_L,True,False,0,0,0,0,0,0,
stitch_O,True,False,0,0,0,0,0,0,
stitch_cover,True,False,0,0,0,0,0,0,
stitch_double,True,False,0,0,0,0,0,0,
stitch_edge,True,True,55275,4037,11,0,6,55258,"node_annotations_element,std_svg_nodes,std_svg_occurrences,style_registry"
stitch_hidden,True,False,0,0,0,0,0,0,
stitch_overlock,True,False,0,0,0,0,0,0,
stitch_symbol,True,True,2566,1093,0,0,0,2566,"std_svg_nodes,std_svg_occurrences"
stitch_thru,True,True,18627,3650,7,0,0,18620,"std_svg_nodes,std_svg_occurrences,style_registry"
stitch_topstitch,True,False,0,0,0,0,0,0,
stitch_zigzag,True,False,0,0,0,0,0,0,
unknown,True,True,1180,268,0,0,0,1180,"std_svg_nodes,std_svg_occurrences"
Выноски с увеличением,False,True,6,0,0,0,0,0,unknown_roles_assigned
Мех,False,True,4,0,0,0,0,0,unknown_roles_assigned
Размерная линия,False,True,1,0,0,0,0,0,unknown_roles_assigned
Резинка,False,True,3,0,0,0,0,0,unknown_roles_assigned
Соединяющая стрелка,False,True,1,0,0,0,0,0,unknown_roles_assigned
Строчка по краю,False,True,2,0,0,0,0,0,unknown_roles_assigned
выносная линия,False,True,4,0,0,0,0,0,unknown_roles_assigned
линия на фото?,False,True,3,0,0,0,0,0,unknown_roles_assigned
непонятно,False,True,2,0,0,0,0,0,unknown_roles_assigned
ремень-стяжка?,False,True,2,0,0,0,0,0,unknown_roles_assigned
